cat,date,fcst
well-10,2048-10-01,1127.2467092800202
well-10,2048-11-01,1131.87047544994
well-10,2048-12-01,1127.4091130144618
well-10,2049-01-01,1119.782698350772
well-10,2049-02-01,1135.597120734652
well-10,2049-03-01,1141.5486676997741
well-10,2049-04-01,1143.4307043559463
well-10,2049-05-01,1150.436618615757
well-10,2049-06-01,1141.762485976946
well-10,2049-07-01,1146.0273794569005
well-10,2049-08-01,1146.5107823091519
well-10,2049-09-01,1142.2458888291974
well-10,2049-10-01,1146.171725135803
well-10,2049-11-01,1143.4307043559463
well-10,2049-12-01,1156.4778278397814
well-10,2050-01-01,1158.862481849251
well-100,2048-02-01,779.7892365888767
well-100,2048-03-01,785.438706871422
well-100,2048-04-01,782.1486634788064
well-100,2048-05-01,783.2003194652132
well-100,2048-06-01,786.5795905542525
well-100,2048-07-01,787.398417634301
well-100,2048-08-01,788.177199971389
well-100,2048-09-01,787.6546034888044
well-100,2048-10-01,788.9903242969648
well-100,2048-11-01,788.8915681332758
well-100,2048-12-01,792.9515958953914
well-100,2049-01-01,789.5961458095917
well-100,2049-02-01,806.4533843323833
well-100,2049-03-01,805.7227614136742
well-100,2049-04-01,809.1632768879768
well-100,2049-05-01,802.846374474921
well-100,2049-06-01,802.8965961568617
well-100,2049-07-01,810.1650344085416
well-100,2049-08-01,789.6922529220551
well-100,2049-09-01,786.5440067614754
well-100,2049-10-01,808.5767075686296
well-100,2049-11-01,786.8301408485971
well-100,2049-12-01,779.7967766509049
well-100,2050-01-01,779.7967766509049
well-101,2048-02-01,575.8522878289928
well-101,2048-03-01,575.8487813423428
well-101,2048-04-01,575.3262932399991
well-101,2048-05-01,580.6210292276849
well-101,2048-06-01,591.3871119230483
well-101,2048-07-01,584.6972092283937
well-101,2048-08-01,583.8860229368266
well-101,2048-09-01,580.1462997059434
well-101,2048-10-01,597.5731885462228
well-101,2048-11-01,593.4582019637899
well-101,2048-12-01,588.4584453707662
well-101,2049-01-01,590.2953370799266
well-101,2049-02-01,597.8388183860897
well-101,2049-03-01,589.7855140314517
well-101,2049-04-01,576.4291043471868
well-101,2049-05-01,576.0887810576686
well-101,2049-06-01,578.6451159453228
well-101,2049-07-01,563.584708092749
well-101,2049-08-01,579.1947456975175
well-101,2049-09-01,587.4109842351746
well-101,2049-10-01,608.55721308402
well-101,2049-11-01,608.6700942450761
well-101,2049-12-01,597.7452270428776
well-101,2050-01-01,596.3125937820957
well-102,2048-02-01,1754.9716870319764
well-102,2048-03-01,1763.42151337555
well-102,2048-04-01,1771.7237834696543
well-102,2048-05-01,1760.077619011301
well-102,2048-06-01,1760.7191971956704
well-102,2048-07-01,1768.2822121581496
well-102,2048-08-01,1768.263722589917
well-102,2048-09-01,1776.3268966836458
well-102,2048-10-01,1796.1482133074978
well-102,2048-11-01,1792.3188401696766
well-102,2048-12-01,1796.4519752089964
well-102,2049-01-01,1796.4519752089964
well-102,2049-02-01,1796.1482133074978
well-102,2049-03-01,1794.925799946213
well-102,2049-04-01,1799.5849663458139
well-102,2049-05-01,1790.371185766407
well-102,2049-06-01,1842.6865134798322
well-102,2049-07-01,1834.0099852939275
well-102,2049-08-01,1850.0830070511934
well-102,2049-09-01,1829.833250653393
well-102,2049-10-01,1831.074361335881
well-102,2049-11-01,1843.6376533328585
well-102,2049-12-01,1844.9910561030551
well-102,2050-01-01,1843.980488415812
well-103,2048-02-01,1756.9732656522988
well-103,2048-03-01,1756.9732656522988
well-103,2048-04-01,1755.8909760446022
well-103,2048-05-01,1755.8909760446022
well-103,2048-06-01,1755.4024510479662
well-103,2048-07-01,1759.9923518771666
well-103,2048-08-01,1759.9923518771666
well-103,2048-09-01,1759.9923518771666
well-103,2048-10-01,1758.3171920072728
well-103,2048-11-01,1771.8729988765554
well-103,2048-12-01,1777.1890871090322
well-103,2049-01-01,1793.8357903406727
well-103,2049-02-01,1800.388680076057
well-103,2049-03-01,1804.9596666783805
well-103,2049-04-01,1802.7038975682244
well-103,2049-05-01,1794.647952750071
well-103,2049-06-01,1800.1247794605406
well-103,2049-07-01,1849.9534852371803
well-103,2049-08-01,1848.1648912364917
well-103,2049-09-01,1847.8436112363443
well-103,2049-10-01,1848.8387291070421
well-103,2049-11-01,1850.5883171331284
well-103,2049-12-01,1850.5554698419432
well-103,2050-01-01,1849.8446950047792
well-104,2048-02-01,487.493911972253
well-104,2048-03-01,489.5612433193508
well-104,2048-04-01,488.31604795420145
well-104,2048-05-01,490.1018259720072
well-104,2048-06-01,483.55156922678134
well-104,2048-07-01,503.77514885549033
well-104,2048-08-01,487.7038591514686
well-104,2048-09-01,478.1290351057197
well-104,2048-10-01,465.94724461520286
well-104,2048-11-01,461.3530877650247
well-104,2048-12-01,454.7819977134997
well-104,2049-01-01,437.4587868838303
well-104,2049-02-01,433.9839029538762
well-104,2049-03-01,432.4540006804276
well-104,2049-04-01,429.5150659482437
well-104,2049-05-01,441.3897178690045
well-104,2049-06-01,444.3352057339667
well-104,2049-07-01,439.3583881658914
well-104,2049-08-01,443.8543806463693
well-104,2049-09-01,440.73803455315687
well-104,2049-10-01,444.1640709080568
well-104,2049-11-01,444.1579249494384
well-104,2049-12-01,435.8656572074795
well-104,2050-01-01,438.0031140755254
well-105,2048-02-01,2438.201644464354
well-105,2048-03-01,2441.940919994954
well-105,2048-04-01,2462.9611509465913
well-105,2048-05-01,2455.6536862207818
well-105,2048-06-01,2476.051999473897
well-105,2048-07-01,2456.940942430611
well-105,2048-08-01,2461.7686794371275
well-105,2048-09-01,2440.5770710458187
well-105,2048-10-01,2465.4825367632357
well-105,2048-11-01,2466.4056876704935
well-105,2048-12-01,2488.3235949637033
well-105,2049-01-01,2487.852316282226
well-105,2049-02-01,2482.472261932204
well-105,2049-03-01,2497.1345463380935
well-105,2049-04-01,2497.1345463380935
well-105,2049-05-01,2489.298433064388
well-105,2049-06-01,2496.0381310423413
well-105,2049-07-01,2493.810748958889
well-105,2049-08-01,2527.2686803785336
well-105,2049-09-01,2533.711153922237
well-105,2049-10-01,2558.6398827819567
well-105,2049-11-01,2543.9017743384015
well-105,2049-12-01,2523.209597662885
well-105,2050-01-01,2524.492415706007
well-106,2048-02-01,636.6927291554878
well-106,2048-03-01,623.582942932598
well-106,2048-04-01,639.1330169889932
well-106,2048-05-01,636.8795547706743
well-106,2048-06-01,636.8795547706743
well-106,2048-07-01,615.7960866509886
well-106,2048-08-01,637.2534817833921
well-106,2048-09-01,639.2997556400157
well-106,2048-10-01,636.4970383144184
well-106,2048-11-01,658.6258290344741
well-106,2048-12-01,654.8720351494806
well-106,2049-01-01,660.7120923457261
well-106,2049-02-01,652.4976079298328
well-106,2049-03-01,658.5690589928854
well-106,2049-04-01,652.4976079298328
well-106,2049-05-01,664.4560788218749
well-106,2049-06-01,660.8110601516885
well-106,2049-07-01,661.2890868656294
well-106,2049-08-01,679.3131632259941
well-106,2049-09-01,703.7202104094466
well-106,2049-10-01,716.4208320802176
well-106,2049-11-01,704.050368802948
well-106,2049-12-01,728.4573369675903
well-106,2050-01-01,726.4475470058651
well-107,2048-02-01,757.7513965493661
well-107,2048-03-01,757.7998143949894
well-107,2048-04-01,757.7513965493661
well-107,2048-05-01,765.442453131431
well-107,2048-06-01,765.984656925458
well-107,2048-07-01,767.5163685291864
well-107,2048-08-01,765.500565188883
well-107,2048-09-01,767.6555811697772
well-107,2048-10-01,770.0949465028174
well-107,2048-11-01,773.8481290082601
well-107,2048-12-01,769.3042793147777
well-107,2049-01-01,767.5141376592217
well-107,2049-02-01,769.1259644621738
well-107,2049-03-01,767.5849527044674
well-107,2049-04-01,783.8771511054096
well-107,2049-05-01,783.757468406592
well-107,2049-06-01,792.4583503579893
well-107,2049-07-01,787.0625139992053
well-107,2049-08-01,780.912235848848
well-107,2049-09-01,790.3037016682928
well-107,2049-10-01,781.3864939823461
well-107,2049-11-01,773.4613204944809
well-107,2049-12-01,772.3960292831089
well-107,2050-01-01,771.4060188923731
well-108,2048-02-01,708.1718967228888
well-108,2048-03-01,705.6666002129397
well-108,2048-04-01,710.9442779541547
well-108,2048-05-01,713.1132949435276
well-108,2048-06-01,719.9420554328736
well-108,2048-07-01,719.9916796427204
well-108,2048-08-01,719.9916796427204
well-108,2048-09-01,719.2060628354417
well-108,2048-10-01,717.4898481433169
well-108,2048-11-01,716.6443077805876
well-108,2048-12-01,728.1082816722009
well-108,2049-01-01,717.438129153124
well-108,2049-02-01,726.7434526994264
well-108,2049-03-01,727.4272688085965
well-108,2049-04-01,729.0698989120746
well-108,2049-05-01,725.270915850427
well-108,2049-06-01,724.7978268070174
well-108,2049-07-01,725.4483583830707
well-108,2049-08-01,731.6342781490262
well-108,2049-09-01,726.0065533165229
well-108,2049-10-01,723.2697892123687
well-108,2049-11-01,727.8351862497318
well-108,2049-12-01,715.1772798788426
well-108,2050-01-01,716.7103763634487
well-109,2048-02-01,1028.232230827001
well-109,2048-03-01,1031.212926103976
well-109,2048-04-01,1036.496128035178
well-109,2048-05-01,1028.847967892361
well-109,2048-06-01,1034.3130226825244
well-109,2048-07-01,1033.2492212509599
well-109,2048-08-01,1031.4144869886975
well-109,2048-09-01,1032.1333168380236
well-109,2048-10-01,1031.1145560785951
well-109,2048-11-01,1032.393602229961
well-109,2048-12-01,1034.7512449727421
