cat,date,fcst
well-108,2049-02-01,705.1
well-108,2049-03-01,705.77
well-108,2049-04-01,707.36
well-108,2049-05-01,703.67
well-108,2049-06-01,703.22
well-108,2049-07-01,703.85
well-108,2049-08-01,709.85
well-108,2049-09-01,704.39
well-108,2049-10-01,701.73
well-108,2049-11-01,706.17
well-108,2049-12-01,693.88
well-108,2050-01-01,695.37
well-109,2048-02-01,997.62
well-109,2048-03-01,1000.5
well-109,2048-04-01,1005.64
well-109,2048-05-01,998.22
well-109,2048-06-01,1003.52
well-109,2048-07-01,1002.48
well-109,2048-08-01,1000.7
well-109,2048-09-01,1001.4
well-109,2048-10-01,1000.42
well-109,2048-11-01,1001.66
well-109,2048-12-01,1003.94
well-109,2049-01-01,1009.62
well-109,2049-02-01,1017.45
well-109,2049-03-01,1021.98
well-109,2049-04-01,1022.35
well-109,2049-05-01,1021.98
well-109,2049-06-01,1021.28
well-109,2049-07-01,1020.14
well-109,2049-08-01,1016.15
well-109,2049-09-01,1012.67
well-109,2049-10-01,1009.2
well-109,2049-11-01,996.06
well-109,2049-12-01,1046.43
well-109,2050-01-01,1055.36
well-11,2048-02-01,964.18
well-11,2048-03-01,963.16
well-11,2048-04-01,981.51
well-11,2048-05-01,985.18
well-11,2048-06-01,988.81
well-11,2048-07-01,1006.19
well-11,2048-08-01,1006.08
well-11,2048-09-01,1006.25
well-11,2048-10-01,1007.27
well-11,2048-11-01,1008.67
well-11,2048-12-01,1007.42
well-11,2049-01-01,1008.2
well-11,2049-02-01,1000.84
well-11,2049-03-01,1005.73
well-11,2049-04-01,997.24
well-11,2049-05-01,1002.06
well-11,2049-06-01,998.28
well-11,2049-07-01,995.87
well-11,2049-08-01,1011.48
well-11,2049-09-01,1015.27
well-11,2049-10-01,1009.86
well-11,2049-11-01,1025.2
well-11,2049-12-01,1051.67
well-11,2050-01-01,1053.67
well-110,2048-02-01,1194.89
well-110,2048-03-01,1184.49
well-110,2048-04-01,1172.86
well-110,2048-05-01,1195.99
well-110,2048-06-01,1206.45
well-110,2048-07-01,1216.49
well-110,2048-08-01,1210.05
well-110,2048-09-01,1209.0
well-110,2048-10-01,1193.51
well-110,2048-11-01,1183.63
well-110,2048-12-01,1175.79
well-110,2049-01-01,1161.82
well-110,2049-02-01,1162.53
well-110,2049-03-01,1162.14
well-110,2049-04-01,1163.55
well-110,2049-05-01,1166.17
well-110,2049-06-01,1165.58
well-110,2049-07-01,1163.53
well-110,2049-08-01,1161.88
well-110,2049-09-01,1162.61
well-110,2049-10-01,1157.25
well-110,2049-11-01,1139.0
well-110,2049-12-01,1125.07
well-110,2050-01-01,1148.56
well-111,2048-02-01,642.78
well-111,2048-03-01,642.94
well-111,2048-04-01,642.73
well-111,2048-05-01,643.14
well-111,2048-06-01,640.0
well-111,2048-07-01,645.57
well-111,2048-08-01,649.55
well-111,2048-09-01,651.85
well-111,2048-10-01,650.98
well-111,2048-11-01,652.02
well-111,2048-12-01,651.06
well-111,2049-01-01,646.13
well-111,2049-02-01,648.26
well-111,2049-03-01,646.33
well-111,2049-04-01,639.72
well-111,2049-05-01,638.27
well-111,2049-06-01,645.62
well-111,2049-07-01,646.24
well-111,2049-08-01,647.84
well-111,2049-09-01,648.22
well-111,2049-10-01,648.44
well-111,2049-11-01,642.74
well-111,2049-12-01,638.77
well-111,2050-01-01,640.04
well-112,2048-02-01,2409.88
well-112,2048-03-01,2409.88
well-112,2048-04-01,2409.88
well-112,2048-05-01,2408.99
well-112,2048-06-01,2408.99
well-112,2048-07-01,2460.6
well-112,2048-08-01,2460.05
well-112,2048-09-01,2460.6
well-112,2048-10-01,2465.17
well-112,2048-11-01,2477.93
well-112,2048-12-01,2487.97
well-112,2049-01-01,2494.96
well-112,2049-02-01,2496.24
well-112,2049-03-01,2495.17
well-112,2049-04-01,2487.44
well-112,2049-05-01,2495.13
well-112,2049-06-01,2488.15
well-112,2049-07-01,2487.49
well-112,2049-08-01,2483.64
well-112,2049-09-01,2522.18
well-112,2049-10-01,2517.44
well-112,2049-11-01,2546.21
well-112,2049-12-01,2546.52
well-112,2050-01-01,2546.02
well-113,2048-02-01,277.64
well-113,2048-03-01,278.17
well-113,2048-04-01,276.62
well-113,2048-05-01,285.73
well-113,2048-06-01,285.96
well-113,2048-07-01,289.92
well-113,2048-08-01,290.93
well-113,2048-09-01,294.58
well-113,2048-10-01,294.99
well-113,2048-11-01,295.96
well-113,2048-12-01,296.53
well-113,2049-01-01,306.17
well-113,2049-02-01,305.77
well-113,2049-03-01,310.91
well-113,2049-04-01,310.78
well-113,2049-05-01,307.43
well-113,2049-06-01,305.14
well-113,2049-07-01,304.24
well-113,2049-08-01,304.79
well-113,2049-09-01,304.79
well-113,2049-10-01,304.79
well-113,2049-11-01,304.7
well-113,2049-12-01,303.62
well-113,2050-01-01,302.44
well-114,2048-02-01,341.75
well-114,2048-03-01,341.75
well-114,2048-04-01,341.77
well-114,2048-05-01,341.88
well-114,2048-06-01,340.09
well-114,2048-07-01,340.09
well-114,2048-08-01,340.18
well-114,2048-09-01,340.18
well-114,2048-10-01,338.28
well-114,2048-11-01,336.16
well-114,2048-12-01,331.58
well-114,2049-01-01,314.62
well-114,2049-02-01,315.86
well-114,2049-03-01,316.39
well-114,2049-04-01,316.1
well-114,2049-05-01,311.05
well-114,2049-06-01,306.93
well-114,2049-07-01,308.95
well-114,2049-08-01,315.04
well-114,2049-09-01,314.41
well-114,2049-10-01,314.69
well-114,2049-11-01,310.93
well-114,2049-12-01,310.93
well-114,2050-01-01,309.76
well-115,2048-02-01,645.22
well-115,2048-03-01,637.96
well-115,2048-04-01,627.17
well-115,2048-05-01,623.45
well-115,2048-06-01,623.45
well-115,2048-07-01,619.54
well-115,2048-08-01,619.61
well-115,2048-09-01,619.61
well-115,2048-10-01,623.84
well-115,2048-11-01,623.95
well-115,2048-12-01,627.9
well-115,2049-01-01,629.46
well-115,2049-02-01,624.84
well-115,2049-03-01,640.83
well-115,2049-04-01,648.19
well-115,2049-05-01,651.48
well-115,2049-06-01,652.86
well-115,2049-07-01,658.81
well-115,2049-08-01,670.88
well-115,2049-09-01,669.29
well-115,2049-10-01,663.78
well-115,2049-11-01,644.86
well-115,2049-12-01,641.67
well-115,2050-01-01,641.67
well-116,2048-02-01,710.03
well-116,2048-03-01,692.09
well-116,2048-04-01,701.39
well-116,2048-05-01,704.42
well-116,2048-06-01,705.68
well-116,2048-07-01,703.94
well-116,2048-08-01,706.21
well-116,2048-09-01,707.39
well-116,2048-10-01,707.28
well-116,2048-11-01,708.86
well-116,2048-12-01,710.49
well-116,2049-01-01,723.39
well-116,2049-02-01,751.3
well-116,2049-03-01,764.98
well-116,2049-04-01,760.93
well-116,2049-05-01,768.17
well-116,2049-06-01,780.96
well-116,2049-07-01,791.61
well-116,2049-08-01,798.29
